no,dev-id,alias,channel,mac_address,alias_info
74,ATK00162A8139A3,"JuiceTV, 3.58.300 GOTV, Juice Nano, COP APL|Studio Rancang",GOTV-Basic Lokal & International,00:16:2A:81:39:A3,COP APL|Studio Rancang
73,ATK00162A8139B0,"JuiceTV, 3.83.0 GOTV, Juice Nano, Nusanet 1",GOTV-Basic Lokal & International,00:16:2a:81:39:b0,Nusanet 1
26,ATK00162A8367E7,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:67:e7,Stock stb from ibs ancol
149,ATK00162A83666A,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra - AI Public Area 1 - 60",11,00:16:2a:83:66:6a,Menara Astra - AI Public Area 1 - 60
147,ATK00162A836694,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra - AI 61",11,00:16:2a:83:66:94,Menara Astra - AI 61
150,ATK00162A83C4F7,"JuiceTV, 4.51.0 GOTV, Antik Nano 3",5,00:16:2a:83:c4:f7,
148,ATK00162A836697,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, BM AIA",GOTV-Basic Lokal & International,00:16:2a:83:66:97,BM AIA
221,ATK00162A8367B9,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:67:b9,Stock stb from ibs ancol
146,ATK00162A836695,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Cifo Bandung",GOTV-Basic Lokal & International,00:16:2a:83:66:95,Cifo Bandung
374,ATK00162A83C490,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS Jambuluwuk | 510",5,00:16:2a:83:c4:90,IBS Jambuluwuk | 510
321,ATK00162A836475,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:64:75,Stock stb from ibs ancol
250,ATK00162A8364D5,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS P. Bidadari",Provisioning,00:16:2a:83:64:d5,IBS P. Bidadari
72,ATK00162A83681E,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra United Tractors 57",11,00:16:2a:83:68:1e,Menara Astra United Tractors 57
373,ATK00162A83C48E,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, IBS Jambuluwuk",5,00:16:2a:83:c4:8e,IBS Jambuluwuk
347,ATK00162A840782,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Gasnet Urbano 12/21",Provisioning,00:16:2a:84:07:82,Gasnet Urbano 12/21
372,ATK00162A83C495,"JuiceTV, 4.51.0 GOTV, Antik Nano 3",5,00:16:2a:83:c4:95,
396,ATK00162A840A69,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra 62-Angsana Meeting Room",11,00:16:2a:84:0a:69,Menara Astra 62-Angsana Meeting Room
395,ATK00162A8408EC,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra 63-Dining Room",11,00:16:2a:84:08:ec,Menara Astra 63-Dining Room
398,ATK00162A840A76,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra Gim 58 - AI",11,00:16:2a:84:0a:76,Menara Astra Gim 58 - AI
400,ATK00162A8365CA,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:65:ca,Stock stb from ibs ancol
394,ATK00162A840922,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra 63-Skylounge",11,00:16:2a:84:09:22,Menara Astra 63-Skylounge
448,ATK00162A840A5D,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Cifo Bandung",GOTV-Basic Lokal & International,00:16:2a:84:0a:5d,Cifo Bandung
199,ATK00162A836451,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Stock stb from ibs ancol",GOTV-Basic Lokal & International,00:16:2a:83:64:51,Stock stb from ibs ancol
393,ATK00162A8408D9,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra Publik 58 - AI",11,00:16:2a:84:08:d9,Menara Astra Publik 58 - AI
397,ATK00162A840A1D,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra- AI 62 Lounge Room",11,00:16:2a:84:0a:1d,Menara Astra- AI 62 Lounge Room
447,ATK00162A840895,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Gasnet Urbano 16/20",GOTV-Basic Lokal & International,00:16:2a:84:08:95,Gasnet Urbano 16/20
442,ATK00162A84087B,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Gasnet Urbano 16/16",GOTV-Basic Lokal & International,00:16:2a:84:08:7b,Gasnet Urbano 16/16
449,ATK00162A840A75,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Cifo Bandung",GOTV-Basic Lokal & International,00:16:2a:84:0a:75,Cifo Bandung
399,ATK00162A840A6B,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Menara Astra-AI 61 Akasia Room",11,00:16:2a:84:0a:6b,Menara Astra-AI 61 Akasia Room
445,ATK00162A84089F,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Gasnet Urbano 16/17",GOTV-Basic Lokal & International,00:16:2a:84:08:9f,Gasnet Urbano 16/17
443,ATK00162A8407DD,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Gasnet Urbano 15-15",GOTV-Basic Lokal & International,00:16:2a:84:07:dd,Gasnet Urbano 15-15
439,ATK00162A840869,"JuiceTV, 4.51.0 GOTV, Antik Nano 3, Gasnet Urbano 17/06",GOTV-Basic Lokal & International,00:16:2a:84:08:69,Gasnet Urbano 17/06
